track_id,track_name,artist,artist_id,album_id,album_name,track_duration
4CyTrR4c13d57jCVstfS8T,Plantasia,Mort Garson,0WmzT6tMLhdST5BfYagbha,4Pj4zPHuEUPtfacdeTlqUG,Mother Earth's Plantasia,201178
4NYFBOqAZ68yY5XymxEN20,Moon Undah Water,Puma Blue,6lHO1eGthNnos9KP2BH0cG,7FGgypNfVHeKE6POGP3T7B,Moon Undah Water,332318
4EtELRz6M3e184zevnBKDb,Lies in the Eyes of Love,Part Time,5M0HAqHXyOh3q7WQnvce8o,1GfOfctjAQsRgMfswLsSKZ,Lies in the Eyes of Love,196360
5tMeZdecZyGpwFVovXtCbL,All My Love And All Your Love (Together We Are Fine),Part Time,5M0HAqHXyOh3q7WQnvce8o,4IQaTx4u4dQ9Cu5Nih6F6M,All My Love And All Your Love (Together We Are Fine),246951
6JEbqJ8m7JCrLiLZujokEj,An Undersea Stone,Boys Age,5ub3FIyxtEth9Z9CIq2j9l,3EgVwsImsLtbRgW5UgHSZP,An Undersea Stone,320272
6CzIvlUbwqnsxjLzCbeyU4,"Closed Place, Open World",Slauson Malone,6mWYIx4qV7et94cpRRU77N,0sbvogchTVZ780AMp9PoUZ,"Closed Place, Open World",163841
3rRk04BOhbW7ObJ08Jphni,Twin Of Myself,Black Moth Super Rainbow,4UHzJP2iKVf0RhKIv7ZE2l,3BGSPpFqBATZcGhOApWoYg,Extra Flavor (Dandelion Gum-Era Sessions),200760
0mVOaql40Z4yoCsJDHgvMy,You Can't Blame Me,"Johnson, Hawkins, Tatum & Durr",3eobivfx0tOH94jFekNtaG,0C5uwKeCiK6GJEEK5eUuwe,Eccentric Soul: The Capsoul Label,208120
5HUFcB9PHfVcvXF44u98SI,When Your Parents Go to Sleep - 2003 Remaster,Kevin Ayers,5k5yIvxtsqHqWrRBF3nhSY,0YHNxHZ6g45FRBo2Y7OEPr,Bananamour,347023
5mlLarISJoCnH6WTaFgXEi,Carolina,Sam Evian,5MXsi1oKkm8LuStuKkMdzu,7FWOwf5sFpunzLCCPpb21O,Premium,242659
2XTjamhOEI6Q11PSvnVtNQ,Innerspace,The Apples In Stereo,5KIrQe9pb7tn8y775PsoAP,68ujjRr5T1Ubuh42IZl1n1,Fun Trick Noisemaker,156000
2XTjamhOEI6Q11PSvnVtNQ,Innerspace,Robert Schneider,3UTFJAiFomGrU7ugz6eLxH,68ujjRr5T1Ubuh42IZl1n1,Fun Trick Noisemaker,156000
5r57QB1gV70qQOnYdpCGEh,I Still Love You,Raheem DeVaughn,59NO6KX7wQCG7jGdtH1NtL,5wcSGE0QA4dDcBtDjvoX1v,I Still Love You,216500
5r57QB1gV70qQOnYdpCGEh,I Still Love You,Apollo Brown,151BUVKmiB9rHDjIkgbeVE,5wcSGE0QA4dDcBtDjvoX1v,I Still Love You,216500
6YltYBaYFcV4zcCSAflefK,Santa Teresa Blue,Jules Hiero,2eK4vL0m6Ws2vg078EGk8J,5EgslH4E8TJu96AqCsS6lY,Nove Midén,215384
6YltYBaYFcV4zcCSAflefK,Santa Teresa Blue,Antônio Neves,1or8OkrZ48T6BW0OpeN683,5EgslH4E8TJu96AqCsS6lY,Nove Midén,215384
13Sf8s6OLiI4IWn8V3rVwP,Mando Calrissian,CZARFACE,4John8fJ3LKqFho0pselVr,4odeNH2Qe9DAxT3sC1qq9p,Super What?,137333
13Sf8s6OLiI4IWn8V3rVwP,Mando Calrissian,MF DOOM,2pAWfrd7WFF3XhVt9GooDL,4odeNH2Qe9DAxT3sC1qq9p,Super What?,137333
38tRz5tZ7UmI1IbjDWLBdF,A Name to the Face,CZARFACE,4John8fJ3LKqFho0pselVr,4odeNH2Qe9DAxT3sC1qq9p,Super What?,105373
38tRz5tZ7UmI1IbjDWLBdF,A Name to the Face,MF DOOM,2pAWfrd7WFF3XhVt9GooDL,4odeNH2Qe9DAxT3sC1qq9p,Super What?,105373
2SfE58UZe7Y3TVjozT1fPC,Break in the Action,CZARFACE,4John8fJ3LKqFho0pselVr,4odeNH2Qe9DAxT3sC1qq9p,Super What?,149613
2SfE58UZe7Y3TVjozT1fPC,Break in the Action,MF DOOM,2pAWfrd7WFF3XhVt9GooDL,4odeNH2Qe9DAxT3sC1qq9p,Super What?,149613
0AizRfHUi7y1cSl1HqwEij,Witchoo,Durand Jones & The Indications,6TVVIyd0fsRDGg6WzHKyTP,1WtWOewkBtB1IhbVzTeRmT,Witchoo,222901
0AizRfHUi7y1cSl1HqwEij,Witchoo,Aaron Frazer,4dwDVC6lrMINxVBxETE1AB,1WtWOewkBtB1IhbVzTeRmT,Witchoo,222901
7DOwjvuLCa6A4hIRzZ27kd,Knock Knock,MED,36zSkwftotDHslP3KUQpew,3UbwOC1OgkpGXI2nUaj8cm,Bad Neighbor,285093
7DOwjvuLCa6A4hIRzZ27kd,Knock Knock,Blu,1KeJhR0ENFviw187pD4LPT,3UbwOC1OgkpGXI2nUaj8cm,Bad Neighbor,285093
7DOwjvuLCa6A4hIRzZ27kd,Knock Knock,Madlib,5LhTec3c7dcqBvpLRWbMcf,3UbwOC1OgkpGXI2nUaj8cm,Bad Neighbor,285093
7DOwjvuLCa6A4hIRzZ27kd,Knock Knock,MF DOOM,2pAWfrd7WFF3XhVt9GooDL,3UbwOC1OgkpGXI2nUaj8cm,Bad Neighbor,285093
0byXwha3uS2wFZhg50RxAO,So What,Hidden Fees,1iCCI86DujnlhhRsCLpZpp,41LCb6Ef6HrEhs6omxKb1V,So What,407236
43RTox7XZyLIc8fvAhH5jE,Now Awake,Jelly Crystal,4UOv0GRUcowmMub8VH0pxP,7m7pavFyh5VT2471uw1HBO,Now Awake,278813
02IWO1ST4g8aQDsJI9YKxw,Hottest Day in New York,Star Slinger,4GyYa2wB1SohURhDwDCCnQ,3YEOB2lKZcgTTbjEWBJCia,Home Is Where We Start From,189600
0TWPS1Obj4cFhtpIpxaVQo,Piledriver,Dennis the Fox,6Vd702wPIlH0DJZRHnUpOT,5MvwOam8c4xlAjFmAYqYEM,Mother Trucker,307920
2Pwp7xkcj4nT5L695i6zES,Grow Forever,Lizette & Quevin,1Ja8gq8kybmwpYcCSVNBqY,5EkMZeE1jwxRJ5gZEQeKSb,Grow Forever b/w Now It’s Your Turn To Sing,193620
4vCVu9oq5lnmBbtpZL9CXR,This American Life,Salvia Plath,4Ojq8WaaD3QA7dS8v9Ypf3,1Cgv49sBkiqrdSPhKwCw01,The Bardo Story,145266
46fk9wjYcPm0sgym2b7EEE,We Major,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,5ll74bqtkcXlKE7wwkMq4g,Late Registration,448000
46fk9wjYcPm0sgym2b7EEE,We Major,Nas,20qISvAhX20dpIbOOzGK3q,5ll74bqtkcXlKE7wwkMq4g,Late Registration,448000
46fk9wjYcPm0sgym2b7EEE,We Major,Really Doe,69m0yjx8ruKebsRvbNuEDz,5ll74bqtkcXlKE7wwkMq4g,Late Registration,448000
23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,357653
23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,357653
23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Raekwon,2yQf6b8hxahZaT5dHlWaB1,20r762YmB5HeofjMCiPMLv,My Beautiful Dark Twisted Fantasy,357653
4XNska8wDJLpjbvXNebs5C,Over When You Die,Dada Plan,0LWxxjveNqWgsAOxuBpfTD,7m2MWeilsZOCenBdkt0PQ7,A Dada Plan Is Free,246853
6JZCakuaiGuHWhOtxUTm2e,Classic Shit,Ill Al Skratch,2prhxg78mXtbxE5ZcHGvQj,7stoksJBXRX4HvVEhteAoD,Creep Wit' Me,254400
