0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.46,0.825,7,-6.295,1,0.296,0.451,0.0,0.0865,0.515,81.342,4,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)",Westside Gunn,58,105185,2021-09-24
0.665,0.629,5,-5.526,1,0.346,0.0715,0.0,0.0795,0.669,86.532,4,Beautiful Mind,Cormega,47,160386,2004-05-25
0.526,0.294,6,-11.202,1,0.0327,0.833,0.0155,0.109,0.265,137.967,4,It's Choade My Dear,Connan Mockasin,17,245293,2011
0.814,0.638,5,-6.933,1,0.0292,0.484,0.136,0.068,0.981,100.005,4,O Sol (feat. Tita Lima),The Echocentrics,35,185789,2016-05-20
0.745,0.842,5,-3.525,1,0.0283,0.104,0.00288,0.0873,0.31,109.99,4,Habits (Stay High) - FIXYN Remix,Tove Lo,13,216545,2014-03-03
0.889,0.516,8,-8.852,1,0.327,0.372,0.0,0.0926,0.732,140.005,4,Oh Okay (feat. Young Thug & Lil Baby),Gunna,63,199011,2018-02-02
0.573,0.703,11,-11.043,1,0.3,0.241,2.91e-06,0.223,0.754,92.134,4,It Could Happen,Shabaam Sahdeeq,9,208483,1996-08-14
0.735,0.817,10,-7.034,0,0.261,0.139,0.0,0.0736,0.717,85.966,4,Hustlin Junkie,Lewis Parker,8,239466,2015-10-10
0.448,0.741,4,-9.035,1,0.032,0.00176,0.706,0.301,0.445,142.004,4,Falling Forward,CASTLEBEAT,37,208363,2016-01-01
0.708,0.693,8,-9.201,1,0.404,0.0442,0.0,0.17,0.719,96.731,4,Goldyn Chyld,Ras Kass,32,217730,2019-03-15
0.886,0.491,8,-12.589,1,0.171,0.29,2.46e-06,0.229,0.971,93.236,4,Mr. Big Stuff,Jean Knight,63,164560,1971
0.417,0.663,9,-9.573,1,0.0388,0.868,0.00427,0.542,0.909,140.643,4,At the Hotel Double Tragedy,Happy Jawbone Family Band,4,138725,2013-01-27
0.31,0.802,9,-3.834,0,0.0385,0.0264,0.637,0.0667,0.617,82.987,4,Barbacoa,Guantanamo Baywatch,27,188226,2012-05-01
0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4,Better,Khalid,76,229320,2018-10-18
0.718,0.9,0,-3.036,1,0.255,0.124,2.53e-06,0.924,0.71,102.983,4,Def Jam 2000 (Funkmaster Flex & Big Kap Feat. Fat Man Scoop),Funk Flex,34,160240,1999-01-01
0.899,0.624,10,-8.19,0,0.0849,0.00775,0.000167,0.0466,0.864,91.055,4,All Glocks Down,Heather B,31,250000,1996-06-11
0.457,0.624,7,-10.869,1,0.499,0.695,0.0117,0.287,0.416,82.601,4,artifacts_stbb375,eli filosov [ p h i l o ],38,160284,2016-09-23
0.671,0.621,9,-5.657,0,0.116,0.0841,0.377,0.116,0.102,94.565,4,"From Home, to Work, and Back..",Tall Black Guy,43,173440,2013-05-20
0.6,0.556,7,-10.885,0,0.0388,0.635,0.838,0.0727,0.755,169.894,4,Spice,Fattburger,36,332293,1998-05-19
0.572,0.461,11,-9.094,0,0.0311,0.493,0.805,0.0892,0.0548,121.972,4,Outside,TOPS,43,214905,2014-09-02
